Emotion,Name,Url
pop,Taylor Swift - Delicate,https://www.youtube.com/watch?v=tCXGJQYZ9JA&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=4&ab_channel=TaylorSwiftVEVO
pop,Sajjan Raj Vaidya - Hyatteri,https://www.youtube.com/watch?v=MQbmEIG0evI&ab_channel=SajjanRajVaidya
pop,Wangden Sherpa - Hijo Aja,https://www.youtube.com/watch?v=PEh1RWahBAw&ab_channel=WangdenSherpa
pop,Can't Hold Us by Macklemore & Ryan Lewis,https://www.youtube.com/watch?v=2zNSgSzhBfM
pop,Lose Yourself by Eminem,https://www.youtube.com/watch?v=_Yhyp-_hX2s&ab_channel=msvogue23
pop,Thunderstruck by AC/DC,https://www.youtube.com/watch?v=VcByktP-mdE&ab_channel=stevevanderstaaij
pop,Hall of Fame by The Script (feat. Will.I.Am),https://www.youtube.com/watch?v=mk48xRzuNvA
pop,Eye of the Tiger by Survivor,https://www.youtube.com/watch?v=btPJPFnesV4
pop,Radioactive by Imagine Dragons,https://www.youtube.com/watch?v=ktvTqknDobU
pop,Pumped Up Kicks by Foster The People,https://www.youtube.com/watch?v=SDTZ7iX4vTQ
pop,Zinda by Shankar-Ehsaan-Loy (from Bhaag Milkha Bhaag),https://www.youtube.com/watch?v=Ax0G_P2dSBw&ab_channel=SonyMusicIndiaVEVO
romantic,Stephen Dawes - Teenage Dream ,https://www.youtube.com/watch?v=pVi9W3OThVw&ab_channel=StephenDawes
romantic,Stephen Sanchez - Until I Found You,https://www.youtube.com/watch?v=GxldQ9eX2wo&ab_channel=StephenSanchezVEVO
romantic,Céline Dion - It's All Coming Back to Me Now,https://www.youtube.com/watch?v=j8fHNdrZTSI&ab_channel=CelineDionVEVO
romantic,Keane - Somewhere Only We Know,https://www.youtube.com/watch?v=Oextk-If8HQ&ab_channel=KeaneVEVO
romantic,Tere Bina Best Video| Guru,https://www.youtube.com/watch?v=9JDSGhhiOwI&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=12&ab_channel=SonyMusicIndiaVEVO
romantic,Kaise Mujhe | Ghajini ,https://www.youtube.com/watch?v=uC1iJcYOyeY&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=13&ab_channel=T-Series
romantic,Mere Haath Mein | Song | Fanaa,https://www.youtube.com/watch?v=REfscMMGxNc&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=14&ab_channel=YRF
romantic,KHAIRIYAT (BONUS TRACK) | CHHICHHORE,https://www.youtube.com/watch?v=hoNb6HuNmU0&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=15&ab_channel=T-Series
romantic,Apna Bana Le - Bhediya ,https://www.youtube.com/watch?v=ElZfdU54Cp8&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=16&ab_channel=ZeeMusicCompany
romantic,Ranjha – Official Video | Shershaah,https://www.youtube.com/watch?v=V7LwfY5U5WI&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=17&ab_channel=SonyMusicIndia
romantic,Tu Jo Mila' VIDEO Song - K.K. Pritam ,https://www.youtube.com/watch?v=6DCOjq0omBc&list=TLPQMjMwMjIwMjMsnfWH_kV2LA&index=18&ab_channel=T-Series
romantic,MAYA RAICHA RA - Kali Prasad Baskota,https://www.youtube.com/watch?v=iX-bpJh3xIg&ab_channel=G21Digital
romantic,K Maya Lagchha Ra | Nishan Bhattarai & Eleena Chauhan |,https://www.youtube.com/watch?v=3Miwh9gQgvE&ab_channel=ARTMANDU
romantic,Ashutosh KC - MAYA,https://www.youtube.com/watch?v=kEbcHhNsRoU&list=RD3Miwh9gQgvE&index=25&ab_channel=AshutoshKC
romantic,Enna Sona by Arijit Singh (Hindi),https://www.youtube.com/watch?v=xo_A7B7ec6Q&ab_channel=LyricSsoul
romantic,Abhi Mujh Mein Kahin by Sonu Nigam (Hindi),https://www.youtube.com/watch?v=3Iq3j3L06rQ&ab_channel=JHHMUSIC
romantic,Tum Se Hi by Mohit Chauhan (Hindi),https://www.youtube.com/watch?v=mt9xg0mmt28&ab_channel=T-Series
romantic,Tujh Mein Rab Dikhta Hai by Roop Kumar Rathod (Hindi),https://www.youtube.com/watch?v=qoq8B8ThgEM&ab_channel=YRF
romantic,Humdard by Arijit Singh (Hindi),https://www.youtube.com/watch?v=mUPIJCs8-bE&ab_channel=SuperhitMusic
romantic,Kal Ho Naa Ho by Sonu Nigam (Hindi),https://www.youtube.com/watch?v=g0eO74UmRBs&ab_channel=SonyMusicIndiaVEVO
romantic,Tum Hi Ho by Arijit Singh (Hindi),https://www.youtube.com/watch?v=Umqb9KENgmk&ab_channel=T-Series
